SourceUrl,PropertyName,ObjectName,ObjectNickname,ObjectGuid,ObjectDescription,ContainerText,JsonPath
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","64c292","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.6.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","1f3128","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.7.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","b2e34c","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.8.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","f15e84","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Index Page = State Number","$.ObjectStates[47].ContainedObjects[0].States.9.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","5af518","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.10.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","b55411","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.11.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","0fbc2b","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.12.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","643cd5","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.13.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","257c76","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.14.CustomDeck.1.BackURL"
"https://steamusercontent-a.akamaihd.net/ugc/2496767915186020274/CA2764C5F73EE7A7A2B933D21181365F8A8302D4/","BackURL","Card","","db4e61","","Bag | TEMPLATE{Rules & FAQ Bag} | Card | Rules Reference Index","$.ObjectStates[47].ContainedObjects[1].States.15.CustomDeck.1.BackURL"
