ImageId,RepositoryPath,Width,Height,Bytes,Sha256,IsKnownSourceSheet,KnownCropCount,PriorityScore
"legacy-image-0066","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__41d30b92b50898f3.png",1024,1024,435756,"577e4d42efd6bdbf7ff701be8759ff08b9b6d0b13952a558b0a5b338cd0ea302",True,1,1070
"legacy-image-0067","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4267f6573a9e0524.jpg",3072,3072,1427826,"1e399fb660d9892e382d60f0edaed70bc4861a4ce5a81f87acd5244eb83b415d",True,1,1070
"legacy-image-0069","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__43e91ad6b8c25e5a.jpg",1024,1024,138464,"43741159eebda3aae2f1a780ce674e10c36a0ce6d265b70e0becbabdc7499855",True,1,1070
"legacy-image-0070","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__44cc2e9f77a0f54f.jpg",2048,2048,349069,"4d7dd00b8f3e97045c278a11d6f3c70137a26496eeef75376843f8873075abf7",True,1,1070
"legacy-image-0073","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__468416f146e1f06d.png",1024,1024,766344,"abe6df6db2740d97ec2d61dc1689f00fbf2294a79affaf07da5749c10e7f3c0b",True,1,1070
"legacy-image-0074","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__47198294f94ca5ea.png",1024,1024,371921,"2e30c7b90852e05b183dd574c114f6cc7541c0c5788f4d2231cea68cbc32b445",True,1,1070
"legacy-image-0076","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__479ac4c40d60d726.png",2200,2200,3356152,"5e701da557aa7f883c61fe1fdceca22cf003619b53e7d4d1e9762ebd2cfe4cae",True,3,1070
"legacy-image-0077","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4807b3729c8343a3.jpg",2048,2048,515653,"3e34398d748bccbac87de37ddb863167c2dea43e8beb76ef1db7c1d03717d49e",True,1,1070
"legacy-image-0078","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__48e6bba4f70cfabc.jpg",1024,1024,164242,"dd60314fa67f5eeb7859699e664ba2088eab09954039ab8d99986a9a4b8fcffd",True,1,1070
"legacy-image-0079","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4af57bb26524ed0b.jpg",1525,1525,168805,"151ccf8058620d0e23a9799256704430c00eb5489f6f3d5174c632be3aedb9f1",True,1,1070
"legacy-image-0081","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4c009f4e322d5c41.png",2048,2048,1108562,"b287c4a9c9a1de8a1297899b29a7349481452dfe8d62c85228ab2a5c905c8fbf",True,1,1070
"legacy-image-0083","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__4fa26aa87794e2f9.jpg",2300,2300,621004,"6c966c811ceb6a25feb0bbf0ae1300c9a4d25c6d9cf1f6c44e56933c17d36513",True,1,1070
"legacy-image-0087","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__530db44fdeb67130.png",2048,2048,1298262,"11b92d15828b797b42387c3b5a2076de26945a54862ca06656de3d803f5cb995",True,1,1070
"legacy-image-0089","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__56b3528f863cf077.jpg",2300,2300,623269,"4da6d3ff681f510af0452321b242a98c83306c2b2ab860a4d29f13124a4ca224",True,1,1070
"legacy-image-0091","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__588199dc62ebbe1e.jpg",1536,1536,175017,"3f7a00c7b63d3594127d9a807ec8b7b347ea5fe1f044d110a1e789cd9f20bf7b",True,1,1070
"legacy-image-0092","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5cae101d5041fcf3.png",1024,1024,658747,"5a2be6cd77d524ad609cb4c07ec9571ab1cc636cb2e439169735003ae7205e0e",True,1,1070
"legacy-image-0093","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5da59378b7d9f2a3.png",1024,1024,601792,"f7615091702ac01e7b90b278889a502b1f5714b0a550afc62573891850cd4e24",True,1,1070
"legacy-image-0094","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__5ecaf2bd7f8d7b76.jpg",3072,3072,875365,"1b67ca60c0f16693df66f7adb10910b1c721b0c561fc556493c48a40d9c62597",True,2,1070
"legacy-image-0097","assets/source/legacy1e/steamusercontent-a.akamaihd.net/images/asset__61e603ba4eae6169.jpg",2048,2048,322065,"9301963e43016631f97f0a79bcd9bde3c8ee551490e20cbafef96c9873da0734",True,1,1070
